id,name,description,cost,category_id,shop_id,photo,identification,ref_link
279,"Nendoroid Tomo Kunagisa","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4242,1,"Fast Anime Studio",230551.jpg,3,https://fast-anime.ru/Figures/10015
280,"Kemono Friends Cu-poche Extra: Narikiri Friends Co-de","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",3137,1,"Fast Anime Studio",230809.jpg,3,https://fast-anime.ru/Figures/10138
281,"Shining Beach Heroines: Altina Swimsuit Ver.","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",10413,1,"Fast Anime Studio",232722.jpg,3,https://fast-anime.ru/Figures/10279
282,"Fate/Extella Gilgamesh Sanbi seyo Miwaku no Nikubi","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",7259,1,"Fast Anime Studio",234387.jpg,3,https://fast-anime.ru/Figures/10293
283,"Nendoroid Toru Amuro","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4157,1,"Fast Anime Studio",234762.jpg,3,https://fast-anime.ru/Figures/10337
284,"REI Homare Art Works Akane Inudou Tanned Skin Ver.","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",12104,1,"Fast Anime Studio",235315.jpg,3,https://fast-anime.ru/Figures/10377
285,"Fate/Extella: No Name Black Swimmer Ver. PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",8152,1,"Fast Anime Studio",236002.jpg,3,https://fast-anime.ru/Figures/10406
286,"figFIX Nico Yazawa: Cheerleader ver.","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4590,1,"Fast Anime Studio",236446.jpg,3,https://fast-anime.ru/Figures/10471
287,"Interviews with Monster Girls: Hikari Takanashi PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",9682,1,"Fast Anime Studio",237450.jpg,3,https://fast-anime.ru/Figures/10636
288,"G.E.M. Series - Yuri on Ice","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",10812,1,"Fast Anime Studio",239811.jpg,3,https://fast-anime.ru/Figures/10840
